Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
asam,masem,kecut,kecut,,
asam,,,,,masem
asap,andus,asep,asep,,
asap,andus,,,"asep, apui",
asin,,,,,pakeh
"asing, aneh, ajaib","aeng, baneh, soleh",jawi,jawi,,
asli,"mula, jatimula",nedan,"asli, nedan",,
"asli, orisinil, perawan",,,,,genten
"asrama, kos",asrama,asrama,pesraman,,
astaga,,,,,beh
"asyik, asik","itep, seleg",seleg,seleg,,
atap,raab,,,kereb,
atap,,,,,"raab, randah"
atas,duur,,,luhur,
atau,wiadin,wiadin/utawi,wiadin/utawi,,
atau,wiadin,,,"utawi, atawa",
"atma, roh",atma,,,jiwatma,
aturan,ugeruger,pidabdab,pidabdab,,
"aturan,sopan santun",,,,,tata
"awal, pendahuluan",panyumu,,,"pangawit, pamahbah",
awan,"gulem, ambun",mega,mega,,
awan,ambun,,," hina, jlada",
awan putih sekitar pucak gunung,,,,,sayong
"awasi, pelihara, mengawasi",piara,perdi,perdi,,
awur,,,,,awag
ayah,bapa,bapa,"aji, ajung",,
"ayak, mengayak",,,,,"sidi, nyidi"
ayam,"siyap, manuk",ayam,ayam,,
ayam,siap,,,ayam,
ayam jantan,"kurungan, siap muani","kurungan, manuk",ayam muani,,
ayam jantan,"siap muani, kurungan","ayam jago, manuk","ayam jago, manuk",,
ayam jantan,,,,,manuk
ayam yang kalah,,,,,cundang
ayun,,,,,ayun
bab,bab,,,sargah,
babat,,,,,abas
babi,celeng,bawi,bawi,,
babi,celeng,,,bawi,
babi induk,,,,,bangkung
babi jantan,,,,,bangkal
baca,paca,,,"wacen, paos",
badak,badak,,,warak,
badan tergerak-gerak,,,,,"kejeng, kejeng-kejeng"
"badan, diri",awak,dewek,"angga, raga",,
bagai,alah,,,kadi,
"bagai, bagaikan",cara,,,"kadi, sakadi, waluya",
bagaimana,kenken,asapunapi,sapunapi,,
bagaimana,"kenken, kengken",,,sapunapi,
bagi,dum,,,pah,
bagi,,,,,"sepih, nyepih"
bagi dua,,,,,"paro, maro"
"bagi, bagian",,,,,"piak, piakan"
bagian,,,,,paos
bagian atas ujung pantat,,,,,gempol
bagus,"luwung, bagus, melah",becik,becik,,
"bagus, baik, indah","luwung, bagus",becik,becik,,
"bagus, baik, utama",luih,,,"becik, mautama",
"bagus, baik, utama",luung,,,becik,
bahagian,"duman, bagian, pahan",duman,duman,,
bahan,lakar,,,datu,
bahan Obat,,,,,srana
bahasa,,,,,basa
bahaya,baya,baya,baya,,
bahaya,baya,,,"bencana, cala",
"bahaya, celaka",sengkala,,,"baya, sinengkaon",
bahkan,,,,,"malah,malahan"
bahu,pala,pala,bahu,,
bahwa,unduk,indik,parindik,,
"baik kembali, rujuk",,,,,kasih
"baik, bagus",melah,,,"becik, utama",
"baik, jegeg",,,,,ayu
"baik, pantes","Melah, pantes",asin,becik,,
baiklah,nah,inggih,inggih,,
bajak,tengala,waluku,waluku,,
bajak,,,,,tenggala
"bajra, genta",,,,,bajra
"baju, pakaian","Baju, kelambi",kuaca,kuaca,,
bak tempat makanan babi,,,,,"palung, palungan"
"baka, alam sana",,,,,niskala
bakar,borbor,,,basmi/geseng,
bakar,tunjel,,,"geseng, basmi",
bakar,,,,,borbor
Bakar mayat,"aben, ngaben",lebu,melebu,,
"bakar, membakar",,,,,"enjut, ngenjutin"
"bakar,membakar",,,,,"obor, ngobor"
"bakat, pembawaan","aba, abaan",babaktan,babaktan,,
bakul anyaman bambu,,,,,wakul
bakul bertutup,,,,,sokasi
bakul besar,,,,,bodag
bakul kecil tertutup,,,,,keben
bakul yang besar,,,,,sok
