Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
bintang,bintang,wintang,"wintang, lintang",,
bintik - bintik kulit,,,,,empik
"bintil, berbintil",,,,,"gentil, magentil"
biru,"biru, blau",pelung,biru,,
biru tua,,,,,pelung
bisa,upas,wisa,wisa,,
bisa,bisa,,,midep,
bisa,,,,,upas
"bisa, dapat, mampu","bisa, nyidayang, ampuh",mresidayang,mresidayang,,
"bisik, berbisik-bisik",,,,,"kisi, kisi-kisi"
bising,,,,,empeng
"bisu, tuna wicara",kolok,kolok,kolok,,
bisul,busulberung,busul,busul,,
bisul,,,,,"encah, ngencah"
biting,semat,,,biting,
biulan,,,,,bebiunan
"blalak, membelalak",,,,,"delik, nelik"
bocor,"beser, bocor",beser,beser,,
bocor,tuduhan,tuduh,tuduh,,
bocor,,,,,beser
bocor,,,,,uus
bodoh,belog,tambet,"awidia, wimuda",,
bohong,"bogbog, mauk",bobog,bobog,,
bohong,bobad/bogbog,,,"adua, linyok",
bohong,,,,,bogbog
"bohong,berbohong",,,,,"mauk,ngemauk"
boleh,dadi,dados,kengin,,
boleh bisa,"dadi, nadi",,,"dados, nados, kangkat",
"boleh, mesti, harus",,,,,wenang
"bon, tak bayar",,,,,anggeh
"bonceng, membonceng",,,,,"gandeng, ngandeng"
bonggol pada batang kayu,,,,,socan kayu
Bongkar batu,,,,,Bungkah
"bongkar, membongkar",,,,,"gebur, ngebur"
"bongkar, mongkar",,,,,"ruak, ngaruak"
Bopeng,,,,,Burik
borgol,,,,,belok
borgolan,,,,,pergolan
borok,,,,,berung
"borong, beli seluruhnya",,,,,pajeg
borongan,borongan,borongan,borongan,,
boros,,,,,koos
bosan,emed,,,waneh,
bosan,wadih,,,waneh,
botak,lengar,lengar,sulah,,
botak,lengar,,,sulah,
botoh,belog,,,"tambet, nambet",
botol,pucung,botol,botol,,
botol,pucung,,,botol,
brahmana yang belum pendeta,,,,,ulaka
"brengos, brewok",kales,kales,beris,,
buah,"buah, buahan","woh, wohan",woh,,
buah asam,,,,,clagi
Buah kelapa kecil,,,,,Bungsil
"buah nangka, cempedak",,,,,nangka
buah pala,,,,,jebugarum
buah petir,butuh,butuh,panta,,
buah pinang,buah,,,"woh, jambe, pala",
buah yang baru tumbuh,,,,,pucil
buang air besar,meju,mekebotan,makoratan,,
"buang, melempar","kutang, entungan, sabatang",mabuncalang,tinggalang,,
"buang, membuang",,,,,"kutang, ngutang"
"buangair, beol, berak",meju,makebotan,maporatan,,
buat apa,"gena, anggon gena",,,"napi, anggen napi",
bubar,,,,,sambrag
bubuk,,,,,seksek
bubuk,,,,,srebuk
bubungan rumah,,,,,"neb,eneb"
bubur,bubuh,bubuh,bubuh,,
bubur,bubuh,,,"adar, gendar",
bubur tepung beras,,,,,"sumsum, bubuh sumsum"
"budak, rakyat jelata",,,,,"kaula, panjak"
"budha, hari Rebo",,,,,buda
buih,,,,,didih
bujang,bajang,bajang,anom,,
"bujuk, membujuk",,,,,"enyor, ngenyor"
buka,"ungkabang, ampakang",ampakang,mangabuka,,
buka,embus,,,lukar,
buka,,,,,gagah
buka mata,,,,,"kedat, ngedat"
"buka mulut, berbicara",,,,,"kemel, makemelan"
"buka, membuka",,,,,"embus, ngembus"
"buka, membuka sesuatu",,,,,"ungkab, ngungkab"
"buka, uraikan",,,,,embud
bukan,"tidong, dong",boya,boya,,
bukit,"bukit, gunung","bukit, gunung","bukit, giri",,
"Bukti,Hasil",,,,,Bukti
buku,buku,kitab,cakepan,,
"buku, lontar",,,,,pustaka
"Buku,Kitab",,,,,Buku
bulan,bulan,bulan,bulan,,
bulan,sasih,sasih,sasih,,
bulan,bulan,,,"wulan, candra",
bulan,bulan,,,sasih,
bulan mati,,,,,tilem
bulan penuh,,,,,purnama
bulan purnama,purnama,purnama,purmacandra,,
bulanbaru,tilem,tilem,tilem,,
Bulat,,,,,Buleh
bulat panjang,,,,,gilik
"bulat, bundar","bunder, gilik",bunteran,bunter,,
"bulat, membuat bulatan sejenis bakso",,,,,"pulung, mulung"
Bulat/Bundar,,,,,Bunter
bulu,bulu,bulu,bulu,,
bulu,bulu,,,eretih,
bulu mata,bulun mata,bulun paningalan,ringring,,
bulu padi,medang,,,miang,
bulunya kurang,,,,,gudig
bulunya rontok,,,,,"urag, ngurag"
bumbu,,,,,basa
bumi,gumi,bumi,"marcapada, bumi",,
bumi,tanah,,,"bumi, pertiwi",
bumi,,,,,mercapada
"bumi, dunia",gumi,,,"jagat, buana, rat",
"bumi, tanah",,,,,pretiwi
bunga,bunga,,,"sekar, puspa",
"bunga, kembang","bunga, kembang","puspa, kusumasekar","sekar, puspa",,
"bungku, membungkus",,,,,"ungkus, ngungkus"
bungkuk,,,,,bengkuk
Bungkuk,,,,,Bungker
bungkus,,,,,bongkos
"bungkus, membungkus",,,,,"kaput, ngaput"
bungkusan,kaputan,kaputan,kaputan,,
bungsil,bungsil,,,biluluk,
bunuh,matiang,sedayang,pademang,,
bunyi burung gagak terus - menerus,,,,,"galok, ngagalok"
bunyi gemuruh,,,,,"grudug , ngrudug"
bunyi gemuruh,,,,,"gubeg, ngrudug"
bunyi halilintar,,,,,kerug-kerug
bunyi orang makan krupuk,,,,,kriuk-kriuk
bunyi orang rebah ke tanah,,,,,"gedeblag, magedeblag"
bunyi roboh,,,,,briug
bunyi semburan,,,,,"kepres, makepres"
bunyi sendawan,,,,,taao
"bunyi, omongan",raos,"pajar, atur","baos, wecana",,
"buruk, busuk",jelek,kaon,kaon,,
"buruk, jelek",,,,,ala
burung,kedis,paksi,paksi,,
burung,kedis,paksi,paksi,,
burung,kedis,,,paksi,
Burung Elang ,,,,,Bulusan
burung gagak,,,,,goak
burung hantu,,,,,clepuk
burung layang-layang,,,,,sesapi
burung pipit,,,,,perit
burung yang dipakai memikat,,,,,pikat
busuk,,,,,berek
buta,buta,buta,nentennyingakin,,
"buta, kelopak mata tertutup",,,,,peceng
butir,bungkul,,,wungkul,
Butir,,,,,Bungkul
butir,,,,,rance
cabai,tabia,,,"cabe, pedes",
cabang,carang,carang,carang,,
cabang,,,,,sepak
Cabang ujung kayu ,,,,,Canggah 
"cabik, mencabik cabik",,,,,"kebes, ngebes"
"cabik, mencabik-cabik",,,,,"setset, nyetset"
cabik-cabik memanjang,,,,,"sisit, sitsit"
cabut,,,,,abut
cabut,,,,,ancit
"cabut, mencabut","abut, ngabut",,,"unus, ngunus",
cabut-cabut,,,,,Bus-bus
cacat,cacad,,,"mala, candala",
"cacat, ubuh",,,,,lara
caci-maki,,,,,batbat
caci-maki,,,,,"pisuh, misuh"
cacing pita,,,,,uliran
cacing tanah,,,,,"jelati, tumwani"
cahaya,caya,,,teja,
cahaya,,,,,caya
cahaya,,,,,teguh
cair,,,,,enceh
"cairkan, mencairkan",,,,,"dadah, nadah"
cakap,duweg,"ririh, wikan",pradnyan,,
campur,"aduk, aor",,,campuh,
campur,,,,,awor
"campur, mencampur","aduk, ledok",aduk,aduk,,
"campuran tanah - air, pasir - semen - air",,,,,luluh
canggung,,,,,singkuh
cangkir,cangkir,cangkir,cangkir,,
"cangkok, mencangkok",,,,,"dekung, nekung"
"cangkul, mencangkul",,,,,"tumbeg, numbeg"
"cangkul, mencangkul",,,,,"udud, ngudud"
cantik,jegeg,ayu,ayu,,
cantik,"jegeg, desak",becik,ayu,,
cantik,jegeg,,,"ayu, pekik",
"capai, lelah","kenyel, oon, tuyuh","lesu, kaleson",lesu,,
capek,,,,,tuyuh
cari,alih,rereh,ruruh,,
"cari, mencari","alih, ngalih",,,"rereh, ngrereh, ruruh",
"cari, mencari-cari",,,,,"serep, maserep"
carita,satua ,,,carita,
"cat, cet","cet, pulas",pulas,pulas,,
catatan,catetan,painget,painget,,
cecak,,,,,cekcek
cegukan,,,,,slekutan
cekik,,,,,cekuk
celana panjang,jaler,celana jaler,jaler,,
celana panjang,,,,,jaler
cemberut,"sebeng, nyebeng",,,"semita, tatwadana",
cemburu,,,,,cenidra
cemeti,,,,,pecut
"cemooh, mencemooh",,,,,"walek, ngwalek"
"cencang, mencencang daging",,,,,"ebat, mebat"
cendana,cenana,,,dewandaru,
"cengeng, cepat nangis",,,,,blengih
cepat,"becat, gangsar",gelis,gelis,,
cepat,"enggal, gangsar, encol, becat",gelis,gelis,,
cepat,becat,,,gelis,
cepat,encol,,,gelis,
cepat,gangsar,,,gelis,
"cepat, lekas",enggal,,,gelis,
cerai,,,,,nyapihan
cerdas,,,,,"pascat, pascad"
ceretan,caratan,,,cecepan,
"cerewet, banyak omong",lamis,,,lemes,
cerita,"satua, satwa","tuturan, tutur, cerita",cerita,,
cerita,,,,,crita
cerita pendek,satua bawak,,,crita cendek,
cermin,meka,cerma,"cermin, mika",,
cermin,meka,,,cermi,
cetakan batu bata,,,,,citakan
cetok,,,,,centong
cikar,,,,,"gedebeg, gelinding"
cikar,,,,,"glinding, gedebeg"
cincang,,,,,Cacah
cincin,bungkung,bungkung,ali-ali,,
cincin,bungkung,bungkung,aliali,,
cincin,bungkung,,,ali-ali,
cinta kasih,,,,,lulut
cintai,demenin,,,tresnain,
ciri,ciri,,,"cihna, sipta",
"ciri, tafsir",tetenger,,,anumana,
cium,diman,,,aras,
"cium, kecup",diman,aras,aras,,
"cium, membau",adek,ngambu,,,
"cium, mencium","endus, ngendus ",,,"ungas, ngungasin",
"cium, mencium",,,,,"diman, niman"
coba,"tegarang, indayang",indayang,indayang,,
coba,"indar, indarang,tegarang",,,"inda, indayang",
"coba, mencoba","cobak, nyobak",,,"pinton, mintonin",
coba/cobakan,tegarang,,,indayang,
cocok,adung,,,"anut, ingkup",
"cocok, pantas",pantes,,,"patut, anut",
"cocok, selalu beruntung",,,,,asi
"cocok, sesuai",anut,,,manut,
"cocok, sesuai",,,,,pangus 
"cocok, setuju",setuju,,,cumpu,
"congkak, sombong",,,,,"mrekak,mokak"
contoh,"tulad, tempaconto, luire",tilad,"tiru, imba, tatuladan",,
contoh,conto,,,imba,
cubit dengan semua jari,,,,,"gimel, ngimel"
"cubit, mencubit",,,,,"sigit, nyigit"
cuci,umbah,wangsuh,wajik,,
cuci,baseh,,,"wangsuh, wajik",
cuci muka,masugi,masugi,maraup,,
cuci muka,"sugi, masugi","sugi, masugi","raup, meraup",,
cuci muka,sugi,,,raup,
cuci tangan,mawajik,mawajik,mawajik,,
"cuci, membersihkan","umbah, panting",umbah,umbah,,
"cuci, mencuci",mabaseh,wisuh,macucian,,
"cuci, mencuci",,,,,"panting, manting"
"cuci, mencuci",,,,,"sutsut, nyutsut"
cucu,cucu,cucu,putu,,
cucu,"cucu, putu",putu,putu,,
cukup,"cukup, nyandanggenep",jangkep,jangkep,,
cukup hanya untuk sekali makan,,,,,asriakan
"cukup, pas",,,,,nyandang
cukur,"cukur, gunting",cukur,cukur,,
cukur,gunting,,,gotra,
"cungkil, nyongkel",,,,,"luntik,ngluntik"
"curiga, pesimis",sangsata,,,sumenya,
daamping,,,,,abih
dada,tangkah,tangkah,"dada, wijang",,
daging,be,ulam,ulam,,
dagu,"cadik, jagut","cadik, lalentek",lelentek,,
dahak,tengkak,,,tenak,
dahi,gidat,gidat,lelata,,
dahsyat,,,,,rames
dahulu,ane malu laadne,"dumun, riin, nguni","rihinin, dumunan, pecakne, nguni",,
dahulu,ilu,riin,dumum,,
dahulu,ilu,,,"dumun, atita, riin",
dahulu,lawas,,,"dumun, riin",
dahulu,pidan,,,"dumun, nguni, riin",
"dahulu, mendahului",,,,,"duun, nuunin"
dalam,dalem,jero,jero,,
dalam,,,,,dalem
"dalam, di dalam",,,,,"jroning, sajeroning"
dalang,,,,,dalang
"dalem, tengah",tengah,,,"jero, jeroan/madia",
damai,dame,"dame, santi","dame, santi",,
damai,,,,,dame
dan,"muah, teken, lan","miwah, ring, kalih","tur, rauhing",,
dan,muah,,,"miwah, saha, lan",
dan,tur,,,"lan, miwah, saha",
Dan lagi,buina,"maliha, samalih",napimalih,,
danau,danu,danu,ranu,,
"dangdang, periuk dari logam",,,,,"dangdang, pengedagan"
dangkal,"daken, dangsah",,daken,,
dangkal,,,,,daken
dapat,bisasanggup,sidaprasida,ubing,,
dapat,maan,,,polih,
"dapat, peroleh","bakat, maan","polih, molih","keniang, polih",,
"dapat, tahan",duga,,,"dugi, sida",
dapatkan,bakat,,,keniang,
dapatkan,bakatang,,,"keniang, molihang",
dapur,paon,pawaregan,parantenan,,
darah,getih,rah,rah,,
darah,getih,,,rah,
darat,,,,,daat
dari,uli,saking,saking,,
dari,uli,,,saking,
daripada,padaang teken,bandingang ring,banding ring,,
datang,teka,"rauh, dateng",rawuh,,
datang,teka,,,"rauh, prapta",
datang hanya sebentar,,,,,"manyung,manyungan"
datang tanpa pemberitahuan,,,,,"delep, nelep"
"datuk, nenek perempuan",dadong,nini,"nini, niyang",,
daun,daon,daun,daun,,
daun,don,,,"daun, lawa",
daun henau yang muda,,,,,ambu
daun kelapa yang kering,,,,,danyuh
daun lontar,,,,,rontal
daun lontar bertulis,,,,,lontar
daun pisang yang muda,,,,,plosor
dayung,,,,,dayung
debu,"ebuk, buk","awu, abu","awu, abu",,
debu,,,,,abu
Debu,,,,,Buk
dedak,,,,,"oot, uwot"
dedaunan makanan babi,,,,,dagdag
dekat,paek,nampek,nampak,,
dekat,paek,nampek,nampek,,
delapan,kutus,,,"asta, ulu",
delapan puluh dua,ulungdasa dua,,,ulungdasa kalih,
delapan puluh satu,ulungdasa besik,,,ulungdasa siki,
delapan puluh tiga,ulungdasa telu,,,ulungdasa tiga,
delapan ratus,,,,,domas
"delapan, sasih kedelapan",,,,,"ulu, sasih kaulu"
demam,"panes, kebus",gerah,gerah,,
demikian,keto,,,"ketok, asapunika",
denda,danda,pidanda,pidanda,,
denda,,,,,danda
denda yang dikenakan,,,,,"dosa, dedosan"
dengan,nganggon,ngangge,ngangge,,
"dengan cepat, cekatan",,,,,"gancang, gangsar"
dengan keras,pang sanget,,,ping sanget,
Dengan seketika,prajani,pramangkin,pramangkin,,
dengan sungguh-sungguh,,,,,"santep, nyantep"
dengansengaja,,,,,ngelapang
dengar,dingeh,piragi,pireng,,
dengar,dingeh,piragi,pireng,,
dengarkan,"dingehang, dingeh","pirengang, piragi, pireng","piragi, rungu",,
depan,"aep, arep",,,ajeng,
depan,"arep, aep",,,ajeng,
depan,malu,,,"ajeng, dumun, riin",
deras,parus,,,deres,
deras,,,,,suluk
deretan,"ririg, ririgan",,,"jajar, jajaran",
"dermawan, berkasihan",bares,"sueca, sweca",asunglugraha,,
"dermawan, harta",,,,,dana
desa,,,,,desa
"desak, mendesak",,,,,"suksuk, nyuksuk"
destar,udeng,destar,destar,,
destar,udeng,,,"destar, tekes",
detik,kejep,jebos,abosbos,,
"dewa keadilan, menghakimi arwah",,,,,yama
dewa pelindung bayi,,,,,kumara
"dewa, sebutan predewa laki-laki",,,,,dewa
di,di,ring,ring,,
di atas,babuan,,,ring luhur,
di atas,beduur,,,ring luhur,
di barat,,,,,dauh
di bawah,beten,,,"sor, ring sor",
di dalam,di tengah,ring jero,"ring jero, sajeroning",,
di mana,,,,,dija
di sana,ditu,,,irika,
di selatan,,,,,delod
di sini,dini,,,iriki,
Di tengah,"Di tengah, tengahan",madiya,"Ring jero, ring madiya",,
Di timur,bedangin,ringkangin,ringwetan,,
di timur,,,,,dangin
di utara,daja,,,baler,
"di, di dalam",di,,,"ring, maring, sajeroning",
"di, pada","sid, sig",,,ring,
"dia, ia",ia,ipun,"ida, dane",,
diajak menari/ngibing joget,,,,,"jawat, kajawat"
diam,mendep,mendep,meneng,,
diam,nengil,nengil,meneng,,
diam,oyong,ngoyong,meneng,,
diam,siep,,,meneng,
"diam, tak berbicara","endep, mendep",,,meneng,
diam-diam,,,,,"liep, liap-liap"
"diatas, atas",duur,ringduur,ringduwur,,
dibandingkan dengan,padaang teken,bandingang ring,sandingang ring,,
dibanggakan,kaajum-ajum,,,kasumbungang,
dibawah,"dibaten, baten, beten",disor,ringsor,,
dibelakang,"duri, diuri","ungkur, pungkur",ringungkur,,
"dibiarkan, tak pernah  dipakai",,,,,"jangklek, nyangklek"
"dicurahi air, taruh di bawah cucuran air",,,,,cor-cor
diijinkan,dadi,"dados, kalugra",kalugra,,
dikeluarkan lagi dari mulut,,,,,sepah
dilalui satu per satu tanpa kecuali,,,,,"peped, meped"
"dilarang, takboleh","singdadi, singmaan",tandados,tankengin,,
diletakkan dengan rapi,,,,,gampil
diluar,"diwangan, disisian, dijaba",dijabaan,ringjabayan,,
dimana,dija,ringdija,ringdija,,
Dimana,dija,ring dija,ring dija,,
"dimarahi oleh dewa, terkutuk ",,,,,"pongor, kapongor "
"dimuka, didepan","diaep, diarep",ringarep,ringajeng,,
"dinamakan, disebut",pankus,mapesengan,kawastanin,,
dinding,"dinding, bedeg",dinding,dinding,,
dinding,,,,,dingding
dinding,,,,,tembok
dingin,dingin,dingin,dingin,,
dingin,dingin,,,gesit,
"dingin, kedinginan",,,,,"gilgil, ngilgilan"
dinonaktifkan dari perkumpulan terlentu,,,,,sepekang
"dipan, tempat tidur",,,,,taban
diperiksa,,,,,katureksa
dipilih,kapilih,,,kajudi,
"dipuja, dipuji",kaajum,,,kapuji,
diri,ukudan,dewek,"anggan, ragan",,
"dirikan, jadikan, membangun","jujukang, ngewangun",ngadegang,ngawangun,,
"disahkan, dikukuhkan",kasahang,,,kamanggehang,
"disana, disitu, kesana","ditu, kema","iriki, marika",drika,,
disebabkan,ngranaang,ngawinang,ngawinang,,
disini,dini,iriki,deriki,,
diskusi,,,,, darmatula
diskusi,,,,,widiatula
Ditakdirkan,,,,,Catri
"doa, puja",sembah,,,puja,
dobel,,,,,nikel
"dolong, sebangsa itik",,,,,kuir
"dorong, mendorong",,,,,"dongsok, nongsok"
"dorong, mendorong",,,,,"sogok, nyogok"
"dorong, mendorong",,,,,"sorog, nyomg"
"dorong, mendorong",,,,,"tulud, nuludin"
dosa,,,,,tulah
dua,"dadua, dua",,,"kekalih, kalih",
dua,dua,,,"kalih, ro",
Dua kali,pindo,pingkalih,"pingkalih, pingro",,
dua kali,"pindo, pingpindo",,,pingkalih,
dua puluh dua,dualikur,,,kalih likur,
dua puluh lima,,,,,selae
duabelas,,,,,roras
duapuluh,duangdasa,,,kalih dasa,
duapuluh tiga,telulikur,,,tigalikur,
duaratus,,,,,satak
duaratus dua,satak dua,,,satak kaluh,
duaratus satu,satak besik,,,satak siki,
duaratus tiga,satak teluk,,,satak tiga,
duda/janda,balu,,,walu,
duduk,negak,negak,malinggih,,
duduk,negak,malinggih,malingga,,
duduk dengan kedua kaki berlipat,,,,,nylempoh
dukun,,,,,balian
"dulang, baki",dulang,dulang,dulang,,
"duluan, dini",pradang,prayapradang,pradang,,
dunia,,,,,buana
dupa,dupa,,,asep,
duri,dui,,,rui,
"dusta, bohong","bobab, bobog, nglompang","linyok, ngalinyok",linyok,,
"dusta, bohong",,,,,mokak
edar,ideh,,,ider,
"ejek, mengejek",,,,,"ewer, ngewerin"
"ejek, mengejek",,,,,"wada, ngawada"
ekor,ikut,ikuh,ikuh,,
ekor,ikut,,,ikuh,
emas,emas,,,kencana,
emas,,,,,"mas,emas"
embun,,,,,damuh
empat,pat,,,papat,
empat,,,,,"pat, patpat"
empat puluh dua,petangdasa dua,,,petangdasa kalih,
empat puluh satu,petangdasa besik,,,petangdasa siki,
empat puluh tiga,petangdasa telu,,,petangdasa tiga,
empat ratus,,,,,samas
empedu,,,,,nyali
enak,jaen,enak,becik,,
enak,"jaen, jahen",enak,enakbecik,,
"enak, lezat",,,,,"jaan, jaen"
enam,"nem, nemnem",,,nenem,
enampuluh dua,nemdasa dua,,,nenemdasa kalih,
enampuluh satu,nemdasa besik,,,nenemdasa siki,
enggan,,,,,"koh, ngekoh"
"engkau, kamu, anda","cai, nyai",danejero,ratuiratu,,
entah,apa,napi,napi,,
entar ya,"enden, enden malu",,,mangkin dumun,
epilepsi,,,,,ayan
eratkencang,tekek,tekek,tekek,,
es,es,es,es,,
"famili, sanak saudara",nyama braya,"semeton, pasemetonan","semeteon, kulawarga",,
firman,,,,,sabda
"foto, memfoto ",,,,,"potrek, motrek "
gabah,,,,,jijih
gabah yang terselip di beras,,,,,latah
"gabah, kurang waspada",,,,,"gabah, gegabah"
"gabung, bergabung",,,,,"gapuk, magapuk"
"gabung, sambung","sambung, nyambung, gabung, deketang",Sambung antun,Antun rapetang,,
"gabus, sumbat",tekep,tekep,tekep,,
"gadai, menggadai","gede, ngade",,,"sanda, nyanda",
"gadai, menggadai",,,,,"gade, ngade"
gadis,,,,,daa
gadis agak nakal,,,,,"klinyar, ngelinyar"
"gadis, perawan","bajang, deha","truni, anom",anom,,
"gadis, perawan","daha, bajang",anomjejaka,"kaniak, anom, jejaka",,
gagak ,goak,,,gagak,
"gagal, kecewa","kado, kuciwa",nandangerang,nandangerang,,
gagap,,,,,keta
"gait, mengait kaki hewan",,,,,"impus, ngimpus"
"gait, menggait kaki hewan",,,,,"impus, ngimpus"
gajah,gajah,,,asti,
gajah,,,,,gajah
gaji,"upah, gajih",pikolih,pikolih,,
gaji,,,,,gajih
galah,,,,,joan
"galak, buas",,,,,galak
Galian kecil keluar air,,,,,Bulakan
gambar,"gambar, gegambaran",gambar,"gambar, patra",,
gambar,,,,,gambar
gamelan wayang,,,,,gender
"gampang, mudah",elah,,,dangan,
gampang/mudah,aluh,,,dangan,
"ganggu, mengganggu",,,,,"gulgul, ngulgul"
ganjal,,,,,ganjel
"ganjal, mengganjal",,,,,"tingguk, ninggukin"
"ganjil, aneh",,,,,soleh
ganti,sehin,gentos,gentos,,
ganti,ganti,,,gentos,
ganti kulit ular,,,,,"kules, makules"
ganti pakaian,meseh,,,magentos busana,
"ganti, berganti","she, maseh",,,"gentos, magentos",
"ganti, menggantikan","timbal, nimbalin",,,"gentos, ngentosin",
gantung,"gantung, ngantung",gantung,gantung,,
"gantung, tergantung",,,,,"gantung, magantung"
gantungkan,"gantungan, ngantungin",engsutang,engsutang,,
garam,uyah,tasik,tasik,,
garam,uyah,,,tasik,
garis,garis,garis,garis,,
garpu,garpu,garpu,garpu,,
"garuk, menggaruk",,,,,"gasgas, ngasgas"
garuk-garuk,,,,,gesges
gatal,genit,gatel,gatel,,
gatal,genit,,,gatel,
gatal,,,,,besuk
gatal,,,,,"gatel, genit"
"gaul, pergaulan",,,,,"gubug, pagubugan"
"gaya, penampilan",,,,,agem
"gaya, penampilan",,,,,tangkep
gcrak kaki dalam tarian,,,,,"tanjek, tetanjek"
gelang,gelang,gelang,anggada,,
gelang,"gelang, gegelangan",pinggel,pinggel,,
gelang,gelang,,,"pinggel, anggada",
gelap,peteng,peteng,gelap,,
gelap,,,,,peteng
gelar agamawan bukan brahmana,,,,,"empu, sri empu"
gelar kebangsawanan,,,,,gusti
"gelar raja, bekas raja di Bali",,,,,cokorda
gelas,lumur,lumur,lumur,,
gelas,,,,,lumur
"gelinding, cikar",,,,,pedati
gelisah,uyang,uyang,uyang,,
gelisah,uyang,,,osah,
gelisah,,,,,blasak
"gelisah, gugup","uyang, inguh, rengas","resres, osah, sengap",osah,,
"gelisah, resah",ibuk,,,osek,
"gelombang, bergelombang",,,,,"klencok, nglencok"
"gema, gaung",,,,,"reng, erengan"
gembira,girang,,,rena,
gembira,,,,,egar
gembur,,,,,gebuh
"gemetar, goncang","ngejer, ngetor",kumeter,kumeter,,
gempa,linuh,,,lindu,
Gempa bumi,linuh,linuh,lindu,,
gemuk,mokoh,mokoh,"ebuh, wibuh",,
"genap, lengkap, sempurna","genep, pepek, seregep",jangkep,jangkep,,
"genap, tak kurang-tak lebih",,,,,bentet
gendang ,,,,,kendang
gendong,"gandong, ngandong",pundut,pundut,,
"gendong, manggendong",,,,,"singal, nyingal"
"gendong, menggendong",,,,,"gandong, ngandong"
genggam,gemel,,,gegem,
genggam,,,,,"cekel, gemel"
genggam,,,,,kepel
"genggam, menggenggam",,,,,"gemel, ngemel"
"genta, bajra",keleneng,,,"genta, bajra",
genting,genteng,genteng,genteng,,
gereja,gereja,gereja,gereja,,
"gergaji, alat potong, memotong",,,,,"gregaji, ngregaji"
gerimis,,,,,ngribis
gerinda,,,,,grinda
"getar, bergetar",,,,,"gejer, ngejer"
"getar, gemetar",,,,,"getor, ngetor"
"giat, gesit, semangat",,,,,giet
gigi,gigi,gigi,untu,,
gigi,gigi,untu,danta,,
gigi geraham,,,,,panggal
gigit,,,,,cegut
gigit,,,,,gacel
gigit,,,,,gutgut
gigit,,,,,"gugut, cegut"
"gigit, mengigit",,,,,"tegor, negor"
gila,buduh,edan,edan,,
gila,buduh,,,edan,
"giling, menggiling",,,,,"giling, ngiling"
"gilir, bergilir",,,,,"gilir, magilir"
"gilir, saling ganti, bergilir",,,,,"genti,magenti"
giring,,,,,"dedeh, dedehang"
"giring-giring, genta kecil",,,,,gongseng
gobek,panglocokan,,,pangawisan,
"goda, menggoda",,,,,"gogo, ngoda"
godam menggoda,,,,,"goda, ngoda"
"godog, longgar",,,,,gomboh
goncang,,,,,genjong
gondok,,,,,gondong
"gong, seperangkat gamelan",,,,,gong
goreng tanpa minyak,,,,,nyahnyah
"goreng, menggoreng",,,,,"goreng, ngoreng"
gosokkan dengan lap agar bersih,,,,,"sadsad, nyadsadin"
"got, saluran air kecil di pemukiman",,,,,jlinjingan
goyah,,,,,ocel
goyah,,,,,"oyod, oyod-oyod"
"goyah, tak kuat",,,,,reyod
goyang maju-mundur,,,,,"oyog, maoyogan"
goyang pinggul,,,,,"engkog, ngengkog"
"goyang, menggoyang",,,,,"ogah, ngogah"
"goyang, tidak kuat",,,,,onyed
grembengan yang lebih curam,,,,,jurang
gudang,kodang,kodang,kodang,,
gugu,sadin,,,gega,
"gugu, percaya",gugu,,,gega,
"gugup, gagap",,,,,"memeg,kemegan"
gugur,,,,,aas
"gugus, gugusan",,,,,gancet
gula,gula,gendis,gendis,,
gula,gula,,,gendis,
"gulat, menggulat",,,,,"gulet, ngulet"
"guling, berguling-guling",,,,,"gulik, gulak-gulik"
"gulita, gelap gulita",,,,,"dedet, peteng-dedet"
gulung,gulung,,,"lelet, ringkes",
Gulung,,,,,Bulet
"gulung, menggulung",,,,,"gulung, ngulung"
guna,"pikolih, guna","piguna, pikolih",pikinoh,,
guna,guna,,,pikenoh,
guna-guna,guna-guna,,,abicara,
guna-guna,,,,,"geger, pangeger"
gunanya,gunane,,,pikenohnyane,
"guncang, goyangkan",,,,,engsog
gunting,,,,,gunting
guntur,"kerug, grudug, ketug",kerebek,"gereh, guruh",,
gunung,gunung,gunung,gunung,,
gunung,gunung,,,adri/giri,
guru,guru,,,"acarya, purohita",
"guru, pegajar",,,,,guru
gusi,isit ,isit ,lati,,
habis,telah,,,telas,
habis airnya,,,,,"nyat, enyat"
habiskan,nelahang,nelasang,nelasang,,
hadapi,marep,majeng,marep,,
"hadir, ada","ada, bareng",sareng,wenten,,
"hadir, datang","nekain, tekain, tebengin","wenten, tepekin","ngerauhin, rauhin",,
hadirin pura,patangkil,,,pamedek,
"hak, kuasa",,,,,wewenang
"hakikat, makna",,,,,sasuduk
hakim,kerta,kerta,kerta,,
halaman,natah,,,natar,
halaman luar,,,,,bancingah
"halaman, pekarangan",tengatah,"merajan, tengatah, natah","merajan, tengatah, natah",,
"halang, tutup, sumbat",,,,,bebeng
halangan,taweng,pialang,alang,,
halangan,alangan,,,piambeng,
halangan,pialang,,,piambeng,
"halangan, hambatan","alang, alangan",,,"piambeng, lepet, ceda",
halangi,likadang,"ngentukin, ngerewedin",mialangin,,
halus,,,,,alus
"halus, baik",alus,lues,lues,,
"halus, licin","alus, belig",bantaralus,alus,,
Hambar hilang wibawa,,,,,Campah 
"hambur, berhamburan",,,,,"gabur, magaburan"
"hambur, menghamburkan",,,,,"ura, ngura"
