berguna,maguna,NULL,NULL
berhasil_bisa,nyidaang_sida,mresidaang,presida
berhenti,mereren_rerenang,mesanekan,merarian_rarianang
berisi,misi,medaging,magading
beritahukan,orahang_ngorahang,maturuning,nguningayang_uningang
berjalankaki_berjalan,majalan,mamargi,mamargi
berjangkit_menular_tular_jangkit,ngelalahin,ngibeh_ngelalah,ngibeh_ngelalah
berjanji,majanji,masengketa,masubaya
berkata_sebut,sambatang_ngomong,matur_nikaangmabaos,mapajar
berkelahi_bertarung,meiyegan_uyut,magerengan,magerengan
berkeliling,maileh,maideran,ileh_maideran
berlainlainan,endah_pelag,matiostiosan,masiossiosan
berludah_meludah,makecuh,widuh,widuh
berlumpur,buug_benyek,buug,buug
bermacam macam,endah pelag_soroh soroh,warna warni,NULL
bermain,mecanda_main,mecanda,mecanda
bermaksud,makeneh_kenehang,memanah_kayunin,mapekayun_manahang
bermaksud_berarti,makeneh_kenehang,mamanah_kayunin,mapikayun
bernapas,mangkihan,mangsegan,mangsengan
bernyala_menyala,ngendih,murub,murub_dumilah
berpakaian_berbusana,mabaju,makuaca,makuaca
berpenghasilan,mupah,mapikolih,mapikolih
bersama_sama,bareng_bareng_sibarengan,sareng_sareng_sesarengan,sareng
bersamadengan,ajak_teken,sarengring,ring
bersih,kedas_bresihinggas,suci_resik,resik
bersin,mebangkis,mabangkis,mebangkis
bertemu,tepuk_ketemu,panggih,pangguh
bertengkar,mibukan_mauyutan_uyutin,maiyegan,ricu
bertobat_tobat_menyesal,kapok,selsel_nyesel,nyesel
beruntung_bahagia_selamat,keagetan,sadia_sadiya,NULL
besar,gede,ageng,agung
besar,gede,ageng,agung
besok,buin mani_mani,benjang,benjang
biar,depang,banggayang,banggayang
biar_biarkan,depin,banggayang,banggayang
biasa,kelagu_katah,kesumbung,lumrah
biasa,kentah_biasa,kalagu,lumrah
biasanya,biasane,lumbrah,kadilumbrahipun
bibi paman,ua_maman,maman_paman,paman
bibir,bibih,cangkem_lambe,lambe
bicara_berbicara,ngomong_ngeraos,mabaos,ngandika
bijaksana_pandai,ririh_pradnyan,wicaksana,wikanwikan
biji_batu,batun,watun,watun
bilamana_kapan,yen,yaning,yening
bimbang,bimbang,bimbang,bimbang
bimbang_goyang,bimbang,sumbang,sumbang
binatang_hewan,buron,sato,sato
bingkai,sibeh,sibeh,sibeh
bingung,paling_bingung,lemengruwet,ruwet
bintang,bintang,wintang,wintang_lintang
biru,biru_blau,pelung,biru
bisa,upas,wisa,wisa
bisa_dapat_mampu,bisa_nyidayang_ampuh,mresidayang,NULL
bisu_tuna wicara,kolok,kolok,kolok
bisul,busulberung,busul,busul
bocor,tuduhan,tuduh,tuduh
bocor,beser_bocor,beser,beser
bodoh,belog_beler,tambet_beler,tambet
boleh,dadi,dados,kengin
boleh_diijinkan,dadi,dados,kengin
borongan,borongan,borongan,borongan
botol,pucung,botol,botol
